340,0,1.900e+01,-2.94E+00,204.354,1.898e+01,54.118,2.805e+01
345,0,1.920e+01,-4.05E+00,205.677,1.919e+01,61.692,2.788e+01
350,0,1.932e+01,-5.53E+00,207.762,1.931e+01,69.587,2.837e+01
355,0,1.936e+01,-7.41E+00,211.106,1.936e+01,77.748,2.955e+01
0,5,1.936e+01,-3.78E+00,108.387,1.934e+01,85.933,3.152e+01
5,5,1.933e+01,-3.45E+00,109.718,1.931e+01,93.386,3.383e+01
10,5,1.928e+01,-3.29E+00,112.326,1.926e+01,100.696,3.651e+01
15,5,1.921e+01,-3.28E+00,116.007,1.919e+01,107.668,3.929e+01
20,5,1.912e+01,-3.39E+00,120.543,1.909e+01,114.13,4.000e+01
25,5,1.897e+01,-3.60E+00,125.693,1.895e+01,119.954,4.000e+01
30,5,1.878e+01,-3.88E+00,131.201,1.875e+01,125.069,4.000e+01
35,5,1.851e+01,-4.22E+00,136.803,1.849e+01,129.442,4.000e+01
40,5,1.817e+01,-4.62E+00,142.25,1.815e+01,133.077,3.876e+01
45,5,1.775e+01,-5.06E+00,147.325,1.772e+01,135.988,3.696e+01
50,5,1.724e+01,-5.57E+00,151.847,1.722e+01,138.199,3.538e+01
55,5,1.667e+01,-6.12E+00,155.663,1.665e+01,139.725,3.404e+01
60,5,1.603e+01,-6.73E+00,158.645,1.601e+01,140.578,3.295e+01
65,5,1.533e+01,-7.37E+00,160.673,1.531e+01,140.762,3.208e+01
70,5,1.459e+01,-8.04E+00,161.635,1.457e+01,140.274,3.142e+01
75,5,1.380e+01,-8.72E+00,161.436,1.378e+01,139.109,3.095e+01
80,5,1.299e+01,-9.36E+00,160.019,1.297e+01,137.259,3.062e+01
85,5,1.216e+01,-9.92E+00,157.409,1.214e+01,134.724,3.038e+01
90,5,1.131e+01,-1.04E+01,153.773,1.128e+01,131.506,3.011e+01
95,5,1.044e+01,-1.06E+01,149.452,1.041e+01,127.614,2.967e+01
100,5,9.549e+00,-1.07E+01,144.942,9.513e+00,123.062,2.883e+01
